t	Re(rho11)	Im(rho11)	Re(rho12)	Im(rho12)	Re(rho21)	Im(rho21)	Re(rho22)	Im(rho22)	
0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
1.000000	0.999589	-0.000000	0.000205	0.018823	0.000205	-0.018823	0.000411	0.000000	
2.000000	0.998497	-0.000000	0.000748	0.037593	0.000748	-0.037593	0.001503	0.000000	
3.000000	0.996729	-0.000000	0.001625	0.056266	0.001625	-0.056266	0.003271	0.000000	
4.000000	0.994259	-0.000000	0.002844	0.074795	0.002844	-0.074795	0.005741	-0.000000	
5.000000	0.991095	0.000000	0.004400	0.093132	0.004400	-0.093132	0.008905	-0.000000	
6.000000	0.987245	-0.000000	0.006283	0.111234	0.006283	-0.111234	0.012755	0.000000	
7.000000	0.982718	0.000000	0.008486	0.129055	0.008486	-0.129055	0.017282	-0.000000	
8.000000	0.977525	0.000000	0.010997	0.146553	0.010997	-0.146553	0.022475	-0.000000	
9.000000	0.971680	0.000000	0.013806	0.163686	0.013806	-0.163686	0.028320	-0.000000	
10.000000	0.965196	0.000000	0.016899	0.180415	0.016899	-0.180415	0.034804	-0.000000	
11.000000	0.958091	0.000000	0.020264	0.196700	0.020264	-0.196700	0.041909	-0.000000	
12.000000	0.950381	0.000000	0.023886	0.212505	0.023886	-0.212505	0.049619	-0.000000	
13.000000	0.942086	-0.000000	0.027751	0.227794	0.027751	-0.227794	0.057914	0.000000	
14.000000	0.933224	-0.000000	0.031841	0.242534	0.031841	-0.242534	0.066776	0.000000	
15.000000	0.923818	-0.000000	0.036142	0.256693	0.036142	-0.256693	0.076182	0.000000	
16.000000	0.913890	-0.000000	0.040635	0.270241	0.040635	-0.270241	0.086110	0.000000	
17.000000	0.903464	-0.000000	0.045304	0.283150	0.045304	-0.283150	0.096536	0.000000	
18.000000	0.892564	-0.000000	0.050130	0.295394	0.050130	-0.295394	0.107436	0.000000	
19.000000	0.881215	-0.000000	0.055094	0.306951	0.055094	-0.306951	0.118785	0.000000	
20.000000	0.869444	-0.000000	0.060179	0.317798	0.060179	-0.317798	0.130556	0.000000	
21.000000	0.857279	-0.000000	0.065364	0.327915	0.065364	-0.327915	0.142721	0.000000	
22.000000	0.844746	-0.000000	0.070632	0.337287	0.070632	-0.337287	0.155254	0.000000	
23.000000	0.831874	-0.000000	0.075963	0.345897	0.075963	-0.345897	0.168126	0.000000	
24.000000	0.818693	-0.000000	0.081338	0.353732	0.081338	-0.353732	0.181307	0.000000	
25.000000	0.805231	-0.000000	0.086739	0.360783	0.086739	-0.360783	0.194769	0.000000	
26.000000	0.791518	-0.000000	0.092146	0.367041	0.092146	-0.367041	0.208482	0.000000	
27.000000	0.777585	-0.000000	0.097541	0.372499	0.097541	-0.372499	0.222415	0.000000	
28.000000	0.763461	0.000000	0.102906	0.377154	0.102906	-0.377154	0.236539	0.000000	
29.000000	0.749177	0.000000	0.108224	0.381004	0.108224	-0.381004	0.250823	0.000000	
30.000000	0.734763	0.000000	0.113476	0.384048	0.113476	-0.384048	0.265237	0.000000	
31.000000	0.720250	0.000000	0.118647	0.386289	0.118647	-0.386289	0.279750	0.000000	
32.000000	0.705667	0.000000	0.123719	0.387731	0.123719	-0.387731	0.294333	0.000000	
33.000000	0.691045	0.000000	0.128678	0.388380	0.128678	-0.388380	0.308955	0.000000	
34.000000	0.676413	0.000000	0.133508	0.388245	0.133508	-0.388245	0.323587	0.000000	
